,NAME,POPULATION,MALE,FEMALE
231,Bidar,425952.0,219415.0,206537.0
232,Wardha,423300.0,216511.0,206789.0
233,Uttara Kannada,418981.0,211346.0,207635.0
234,Ramgarh,418955.0,222063.0,196892.0
235,Jalaun ,418900.0,222436.0,196464.0
236,Farrukhabad,416185.0,220939.0,195246.0
237,Banas Kantha,414915.0,216638.0,198277.0
238,South Goa,413733.0,210935.0,202798.0
239,Dhar,413221.0,217612.0,195609.0
240,Sivaganga,412845.0,206462.0,206383.0
241,Ramanathapuram,410699.0,208150.0,202549.0
242,Navsari  ,409137.0,213416.0,195721.0
243,Purba Champaran,401343.0,213028.0,188315.0
244,Chhatarpur,399016.0,210848.0,188168.0
245,Rewa,395785.0,207261.0,188524.0
246,Azamgarh,393401.0,202297.0,191104.0
247,Pashchim Champaran,393165.0,207301.0,185864.0
248,Hoshangabad,389986.0,203663.0,186323.0
249,Bhojpur,389861.0,206106.0,183755.0
250,Amreli,386635.0,198495.0,188140.0
251,Darbhanga,383328.0,201404.0,181924.0
252,Munger,380120.0,201742.0,178378.0
253,Gadag,379309.0,189562.0,189747.0
254,Jalna,377429.0,194194.0,183235.0
255,Hassan,376763.0,188084.0,188679.0
256,Puruliya,373314.0,192788.0,180526.0
257,Nainital,371734.0,194409.0,177325.0
258,Nagaon,369534.0,188127.0,181407.0
259,East Khasi Hills,366481.0,182340.0,184141.0
260,Etawah,366299.0,193116.0,173183.0
261,Nagapattinam  ,364624.0,178758.0,185866.0
262,Sabar Kantha,363720.0,188090.0,175630.0
263,Uttar Dinajpur,362228.0,188597.0,173631.0
264,Haveri,355501.0,180678.0,174823.0
265,Saran,353202.0,184702.0,168500.0
266,Pilibhit,351415.0,185213.0,166202.0
267,Hanumangarh,350464.0,184297.0,166167.0
268,Mirzapur,347567.0,185164.0,162403.0
269,Jaunpur,346580.0,179248.0,167332.0
270,Purnia,343005.0,179848.0,163157.0
271,Faizabad,340253.0,180371.0,159882.0
272,Vidisha,339618.0,177606.0,162012.0
273,Hoshiarpur,334969.0,174587.0,160382.0
274,Panch Mahals,334827.0,173585.0,161242.0
275,Udupi,334061.0,163284.0,170777.0
276,Mahamaya Nagar,332693.0,176313.0,156380.0
277,Bara Banki,330803.0,173618.0,157185.0
278,Chitradurga,329533.0,165270.0,164263.0
279,Imphal West,322879.0,158106.0,164773.0
280,Fatehpur,321993.0,169032.0,152961.0
281,Bhiwani,321322.0,170460.0,150862.0
282,Sirsa,319248.0,168405.0,150843.0
283,Tonk,317723.0,160091.0,157632.0
284,Deoria,316803.0,164325.0,152478.0
285,Pudukkottai,316354.0,157683.0,158671.0
286,Cachar,315464.0,159201.0,156263.0
287,Aizawl,314754.0,155490.0,159264.0
288,Sonbhadra,314342.0,167999.0,146343.0
289,Panchkula,313230.0,166526.0,146704.0
290,Guna,312675.0,163235.0,149440.0
291,Betul,309151.0,158878.0,150273.0
292,Mandya,308362.0,153842.0,154520.0
293,Sambalpur,308093.0,158185.0,149908.0
294,Rae Bareli,307995.0,160093.0,147902.0
295,Jind,305583.0,162487.0,143096.0
296,Ballia,304109.0,158884.0,145225.0
297,Raisen,303425.0,160398.0,143027.0
298,Bankura ,299773.0,152318.0,147455.0
299,Khargone (West Nimar),298856.0,153725.0,145131.0
300,Shivpuri,295423.0,156241.0,139182.0
301,Shajapur,293548.0,151247.0,142301.0
302,Koch Bihar ,289434.0,146626.0,142808.0
303,Mainpuri,288442.0,151003.0,137439.0
304,Kanshiram Nagar,288207.0,151609.0,136598.0
305,Porbandar ,285674.0,146949.0,138725.0
306,Chittaurgarh,285264.0,146756.0,138508.0
307,Bahraich,284044.0,148762.0,135282.0
308,Anantnag,282887.0,148755.0,134132.0
309,Kapurthala ,282462.0,150379.0,132083.0
310,Chikkaballapura,281119.0,141974.0,139145.0
311,Patan  ,281081.0,146073.0,135008.0
312,Osmanabad,281057.0,145298.0,135759.0
313,Kannauj,280841.0,147531.0,133310.0
314,Ambedkar Nagar,280730.0,144648.0,136082.0
315,Kurukshetra,279225.0,149956.0,129269.0
316,Mandsaur,277604.0,141864.0,135740.0
317,Rajgarh,276457.0,141805.0,134652.0
318,Banda,275755.0,146633.0,129122.0
319,Nandurbar,275474.0,145499.0,129975.0
320,Hazaribagh,275307.0,143947.0,131360.0
321,Baghpat,275025.0,146263.0,128762.0
322,Ghazipur,274360.0,143424.0,130936.0
323,Katihar,273822.0,144686.0,129136.0
324,Rajnandgaon,272512.0,136643.0,135869.0
325,Bangalore Rural,268744.0,137803.0,130941.0
326,Etah,268142.0,141750.0,126392.0
327,Ramanagara,267759.0,135570.0,132189.0
328,Sawai Madhopur,266467.0,139439.0,127028.0
329,Puri,264930.0,137167.0,127763.0
330,Tinsukia,264743.0,138836.0,125907.0
331,Ratnagiri,263723.0,130908.0,132815.0
332,Katni ,263543.0,136825.0,126718.0
333,Dharmapuri,260912.0,131088.0,129824.0
334,Burhanpur,260287.0,133526.0,126761.0
335,Khandwa (East Nimar),259436.0,133146.0,126290.0
336,Saraikela-Kharsawan,258746.0,135563.0,123183.0
337,Deoghar,258361.0,136886.0,121475.0
338,Thiruvarur,257795.0,126739.0,131056.0
339,Baran,254214.0,131717.0,122497.0
340,Baleshwar,253293.0,129321.0,123972.0
341,Kendujhar,253059.0,131820.0,121239.0
342,Muktsar,252191.0,133420.0,118771.0
343,Damoh,250551.0,131402.0,119149.0
344,Tikamgarh,249873.0,130878.0,118995.0
345,Sehore,248462.0,129107.0,119355.0
346,Dhaulpur,247450.0,132717.0,114733.0
347,Raigarh,246302.0,126461.0,119841.0
348,Neemuch ,245230.0,127640.0,117590.0
349,Balaghat,244816.0,122384.0,122432.0
350,Dibrugarh,243730.0,126135.0,117595.0
351,Jhajjar,243339.0,130448.0,112891.0
352,Surguja,242921.0,125221.0,117700.0
353,Chandauli,242553.0,127275.0,115278.0
354,Chikmagalur,239508.0,119077.0,120431.0
355,Aurangabad,236854.0,124065.0,112789.0
356,Palwal ,236544.0,125590.0,110954.0
357,Dakshin Dinajpur,236295.0,119428.0,116867.0
358,Kaithal,236011.0,125072.0,110939.0
359,Auraiya,234222.0,123546.0,110676.0
360,Bhandara,233831.0,118036.0,115795.0
361,Koppal,233704.0,116968.0,116736.0
362,Rewari,233430.0,124625.0,108805.0
363,Vaishali,233079.0,123314.0,109765.0
364,Jharsuguda,231165.0,120528.0,110637.0
365,Sant Ravidas Nagar (Bhadohi),229302.0,120510.0,108792.0
366,Jhalawar,229291.0,118610.0,110681.0
367,Moga,227246.0,120216.0,107030.0
368,Singrauli,226786.0,120313.0,106473.0
369,Koraput,226169.0,115038.0,111131.0
370,Palamu,226003.0,118751.0,107252.0
371,Gondiya,225930.0,113620.0,112310.0
372,Janjgir - Champa,225061.0,114316.0,110745.0
373,Gonda,225029.0,118088.0,106941.0
374,Bundi,222701.0,115426.0,107275.0
375,Yadgir,220677.0,111251.0,109426.0
376,Jorhat,220534.0,113837.0,106697.0
377,Shahdol,219600.0,113438.0,106162.0
378,Karauli,218105.0,115454.0,102651.0
379,Pashchimi Singhbhum,218034.0,111728.0,106306.0
380,Faridkot,217051.0,115889.0,101162.0
381,Nawada,215579.0,113012.0,102567.0
382,Washim,211413.0,108575.0,102838.0
383,Sirohi,208654.0,109979.0,98675.0
384,Giridih,208024.0,108490.0,99534.0
385,Anugul  ,206546.0,109333.0,97213.0
386,Koriya,205299.0,106399.0,98900.0
387,Anuppur,205241.0,107084.0,98157.0
388,Barwani ,204069.0,104433.0,99636.0
389,Dhubri,203701.0,103934.0,99767.0
390,Narsimhapur,203540.0,106111.0,97429.0
391,Dausa,201793.0,105887.0,95906.0
392,Shimla,201351.0,110744.0,90607.0
393,Sultanpur,199916.0,104090.0,95826.0
394,Dimapur ,197869.0,103959.0,93910.0
395,Balangir,197381.0,101327.0,96054.0
396,Bastar,193494.0,97835.0,95659.0
397,Mayurbhanj,192896.0,98637.0,94259.0
398,Dohad  ,191625.0,97688.0,93937.0
399,Barnala,190685.0,102312.0,88373.0
400,Sitamarhi,190498.0,101567.0,88931.0
401,Bhadrak,185838.0,95005.0,90833.0
402,Fatehgarh Sahib,185482.0,100745.0,84737.0
403,Mahoba,185381.0,98349.0,87032.0
