,NAME,POPULATION
615,Bargarh,150110.0
529,Dhamtari ,149195.0
172,Samastipur,147797.0
612,Barpeta,147353.0
189,Rayagada  ,146966.0
424,Jamui,145333.0
35,ANDAMAN & NICOBAR ISLANDS,143488.0
336,Lakhisarai,143011.0
403,Kamrup,142394.0
258,New Delhi,142004.0
105,Tarn Taran,141795.0
362,Kodarma,141246.0
124,South Andaman,140747.0
609,Basti,138097.0
473,Goalpara,138062.0
420,Jehanabad ,135196.0
434,Jajapur  ,135097.0
311,Mahrajganj,134730.0
314,Mahendragarh,132855.0
230,Pathanamthitta,131613.0
304,Mandla,130189.0
167,Sant Kabir Nagar,128531.0
621,Banswara,127621.0
155,Shahid Bhagat Singh Nagar ,125416.0
237,Panna,125335.0
379,Kaushambi,124456.0
295,Mewat ,124106.0
120,South Tripura ,123031.0
506,East District,122487.0
404,Kalahandi,121987.0
361,Kohima,121088.0
250,North Tripura,120285.0
317,Mahasamund,120152.0
455,Harda ,119364.0
486,Gadchiroli,118033.0
522,Dhenkanal,117506.0
438,Jagatsinghapur ,115980.0
389,Karbi Anglong,112966.0
479,Garhwal,112703.0
74,Umaria,110544.0
132,Sivasagar,110096.0
582,Bongaigaon,109810.0
387,Karimganj,109700.0
152,Sheikhpura,109002.0
78,Udhampur,108208.0
150,Sheopur ,107352.0
140,Sindhudurg,107006.0
111,Supaul,105558.0
343,Kupwara,104729.0
130,Solan,102147.0
391,Karaikal,98102.0
639,Badgam,97912.0
471,Golaghat,97736.0
227,Perambalur  ,97163.0
236,Papum Pare,96963.0
555,Chitrakoot,96332.0
546,Dakshin Bastar Dantewada,96233.0
143,Sidhi,93121.0
419,Jhabua,91983.0
337,Lakhimpur,91333.0
510,Dumka,90178.0
382,Kathua,89713.0
435,Jaisalmer,89025.0
509,Dungarpur,88743.0
321,Madhepura,88461.0
279,Nabarangapur ,87625.0
584,Bishnupur,87505.0
408,Kabeerdham,87395.0
376,Khagaria,87159.0
399,Kangra,86281.0
645,Ariyalur  ,83794.0
378,Kendrapara ,83534.0
271,Nalbari,82730.0
363,Kodagu,80988.0
345,Kulgam,80613.0
217,Pulwama,80462.0
260,Nayagarh  ,79738.0
106,Tapi,79487.0
69,Uttar Bastar Kanker,76761.0
422,Jashpur ,75992.0
425,Jamtara,75746.0
49,West Garo Hills,74858.0
288,Morigaon,73298.0
400,Kandhamal,72279.0
220,Pratapgarh,71807.0
623,Banka,71313.0
485,Gajapati,70666.0
103,Tehri Garhwal,70139.0
480,Garhwa ,69670.0
223,Pithoragarh,69605.0
322,Lunglei,68752.0
245,Pakur,67512.0
406,Kaimur (Bhabua),65571.0
626,Bandipore,65361.0
465,Gumla,65081.0
472,Godda,64419.0
563,Chatra,62954.0
305,Mandi,62637.0
517,Dima Hasao,62489.0
659,Almora,62314.0
265,Narmada,61872.0
571,Chamoli,59396.0
329,Lohardaga,57411.0
138,Sirmaur,57165.0
661,Alirajpur,57074.0
292,Mokokchung,55725.0
39,Yanam,55626.0
539,Darrang,55494.0
360,Kokrajhar,54941.0
171,Samba,53615.0
200,Rajouri,52314.0
443,Idukki ,52045.0
333,Latehar,51858.0
644,Arwal,51849.0
